qvalue	svalue	TP	FP	TN	FN	FDR	sens	cutoff
0.0	6.96055684450332e-05	2.0	0.0	19085.065777182932	28731.934222817068	6.356470905188871e-12	6.960411284062307e-05	8.004934298138798
0.01	0.7258782826194577	20857.0	211.0	18874.065777182932	7876.934222817068	0.010001013217812273	0.7258664907584377	2.2994837801185786
0.02	0.7717107538539578	22174.0	453.0	18632.065777182932	6559.934222817068	0.02000219533802451	0.7717007990639879	1.992644896162314
0.05	0.8401395438116893	24141.0	1270.0	17815.065777182932	4592.934222817068	0.04999490134528109	0.8401564440427407	1.5120558985339663
0.1	0.9080832715576893	26093.0	2899.0	16186.065777182932	2640.934222817068	0.0999938141197695	0.9080900581751888	1.0290037341999765
0.2	0.9949288242136336	28588.0	7147.0	11938.065777182932	145.93422281706808	0.20000242532282156	0.994921188943866	0.3235263854939187
0.3	1.0	29841.0	12789.0	6296.065777182932	-1107.065777182932	0.30000580969492374	1.0	-0.4380097180310971
0.4	1.0	28734.0	19085.0	0.06577718293192447	-0.06577718293192447	0.3991105162630491	1.0	-7.562697623140613
0.5								
